topology,model,model_label,eligible_seed_count,kick_radius_relative,recovery_horizon,recovery_ratio_median,recovery_ratio_min,recovery_ratio_max,same_memory_error_normalized_median,same_memory_error_normalized_min,same_memory_error_normalized_max,same_memory_error_radians_median,status
t2,calru,CA-LRU,3,0.25,16,0.33206161856651306,0.30167603492736816,0.33748364448547363,0.002208821475505829,0.0020477548241615295,0.0022751258220523596,0.006939217320540479,trajectory
t2,calru,CA-LRU,3,0.25,128,0.3306702971458435,0.2982757091522217,0.335996150970459,0.002200962509959936,0.0020588524639606476,0.0022579494398087263,0.006914527652116687,trajectory
t2,calru,CA-LRU,3,0.25,512,0.3306702971458435,0.2982757091522217,0.335996150970459,0.002200962509959936,0.002058853395283222,0.0022579494398087263,0.006914527652116687,trajectory
t2,calru,CA-LRU,3,0.25,2048,0.3306702971458435,0.2982757091522217,0.335996150970459,0.002200962509959936,0.002058853395283222,0.0022579494398087263,0.006914527652116687,survived
s2,rnn,RNN,0,0.05,0,,,,,,,,ineligible_id
s2,rnn,RNN,0,0.05,1,,,,,,,,ineligible_id
s2,rnn,RNN,0,0.05,16,,,,,,,,ineligible_id
s2,rnn,RNN,0,0.05,128,,,,,,,,ineligible_id
s2,rnn,RNN,0,0.05,512,,,,,,,,ineligible_id
s2,rnn,RNN,0,0.05,2048,,,,,,,,ineligible_id
s2,gru,GRU,0,0.05,0,,,,,,,,ineligible_id
s2,gru,GRU,0,0.05,1,,,,,,,,ineligible_id
s2,gru,GRU,0,0.05,16,,,,,,,,ineligible_id
s2,gru,GRU,0,0.05,128,,,,,,,,ineligible_id
s2,gru,GRU,0,0.05,512,,,,,,,,ineligible_id
s2,gru,GRU,0,0.05,2048,,,,,,,,ineligible_id
s2,lstm,LSTM,3,0.05,0,1.0,1.0,1.0,0.005342529620975256,0.005133564583957195,0.005430704448372126,0.016784051808841727,trajectory
s2,lstm,LSTM,3,0.05,1,0.4993917644023895,0.49819809198379517,0.5000675916671753,0.0025839495938271284,0.002500230213627219,0.0026114166248589754,0.008117717061213637,trajectory
s2,lstm,LSTM,3,0.05,16,0.1581013798713684,0.1512114554643631,0.16108307242393494,0.002413348061963916,0.002305775647982955,0.00242166081443429,0.007581756542021003,trajectory
s2,lstm,LSTM,3,0.05,128,0.15221810340881348,0.1468246579170227,0.15422359108924866,0.002423901343718171,0.0022985441610217094,0.002427848754450679,0.007614910654451435,trajectory
s2,lstm,LSTM,3,0.05,512,0.12595833837985992,0.1166926845908165,0.1265644133090973,0.0025307543110102415,0.0024796295911073685,0.0025883843190968037,0.007950599151510473,trajectory
s2,lstm,LSTM,3,0.05,2048,0.04083678871393204,0.01207921002060175,0.06405720114707947,0.003682126756757498,0.003184159751981497,0.004799577407538891,0.011567742368615767,survived
s2,calru,CA-LRU,1,0.05,0,1.0,1.0,1.0,0.0019062473438680172,0.0019062473438680172,0.0019062473438680172,0.005988652651420819,trajectory
s2,calru,CA-LRU,1,0.05,1,0.7489347457885742,0.7489347457885742,0.7489347457885742,0.0017188109923154116,0.0017188109923154116,0.0017188109923154116,0.005399803986367479,trajectory
s2,calru,CA-LRU,1,0.05,16,0.2997821569442749,0.2997821569442749,0.2997821569442749,0.0014760646736249328,0.0014760646736249328,0.0014760646736249328,0.004637193934883504,trajectory
s2,calru,CA-LRU,1,0.05,128,0.2970997989177704,0.2970997989177704,0.2970997989177704,0.0014832160668447614,0.0014832160668447614,0.0014832160668447614,0.00465966069928585,trajectory
s2,calru,CA-LRU,1,0.05,512,0.2970997989177704,0.2970997989177704,0.2970997989177704,0.001483379164710641,0.001483379164710641,0.001483379164710641,0.004660173086343113,trajectory
